pk_cliente;nome_cliente;regiao_cliente;pais_cliente
11000;Jon Yang;Australia;AU
11001;Eugene Huang;Australia;AU
11002;Ruben Torres;Australia;AU
11003;Christy Zhu;Australia;AU
11004;Elizabeth Johnson;Australia;AU
11005;Julio Ruiz;Australia;AU
11006;Janet Alvarez;Australia;AU
11007;Marco Mehta;Australia;AU
11008;Rob Verhoff;Australia;AU
11009;Shannon Carlson;Australia;AU
11010;Jacquelyn Suarez;Australia;AU
11011;Curtis Lu;Australia;AU
11012;Lauren Walker;Northwest;US
11013;Ian Jenkins;Northwest;US
11014;Sydney Bennett;Northwest;US
11015;Chloe Young;Southwest;US
11016;Wyatt Hill;Southwest;US
11017;Shannon Wang;Australia;AU
11018;Clarence Rai;Australia;AU
11019;Luke Lal;Canada;CA
11020;Jordan King;Canada;CA
11021;Destiny Wilson;Northwest;US
11022;Ethan Zhang;Northwest;US
11023;Seth Edwards;Southwest;US
11024;Russell Xie;Southwest;US
11025;Alejandro Beck;Australia;AU
11026;Harold Sai;Australia;AU
11027;Jessie Zhao;Australia;AU
11028;Jill Jimenez;Australia;AU
11029;Jimmy Moreno;Australia;AU
11030;Bethany Yuan;Australia;AU
11031;Theresa Ramos;Australia;AU
11032;Denise Stone;Australia;AU
11033;Jaime Nath;Australia;AU
11034;Ebony Gonzalez;Australia;AU
11035;Wendy Dominguez;Australia;AU
11036;Jennifer Russell;Southwest;US
11037;Chloe Garcia;Canada;CA
11038;Diana Hernandez;Australia;AU
11039;Marc Martin;Australia;AU
11040;Jesse Murphy;Northwest;US
11041;Amanda Carter;Southwest;US
11042;Megan Sanchez;Southwest;US
11043;Nathan Simmons;Southwest;US
11044;Adam Flores;Australia;AU
11045;Leonard Nara;Australia;AU
11046;Christine Yuan;Australia;AU
11047;Jaclyn Lu;Australia;AU
11048;Jeremy Powell;Australia;AU
11049;Carol Rai;Southwest;US
11050;Alan Zheng;Australia;AU
11051;Daniel Johnson;Australia;AU
11052;Heidi Lopez;Australia;AU
11053;Ana Price;Southwest;US
11054;Deanna Munoz;Australia;AU
11055;Gilbert Raje;Australia;AU
11056;Michele Nath;Australia;AU
11057;Carl Andersen;Australia;AU
11058;Marc Diaz;Australia;AU
11059;Ashlee Andersen;Australia;AU
11060;Jon Zhou;Australia;AU
11061;Todd Gao;Australia;AU
11062;Noah Powell;Northwest;US
11063;Angela Murphy;Northwest;US
11064;Chase Reed;Southwest;US
11065;Jessica Henderson;Southwest;US
11066;Grace Butler;Northwest;US
11067;Caleb Carter;Northwest;US
11068;Tiffany Liang;Australia;AU
11069;Carolyn Navarro;Australia;AU
11070;Willie Raji;Australia;AU
11071;Linda Serrano;Australia;AU
11072;Casey Luo;Australia;AU
11073;Amy Ye;Australia;AU
11074;Levi Arun;Australia;AU
11075;Felicia Jimenez;Australia;AU
11076;Blake Anderson;Australia;AU
11077;Leah Ye;Australia;AU
11078;Gina Martin;Canada;CA
11079;Donald Gonzalez;Australia;AU
11080;Damien Chander;Australia;AU
11081;Savannah Baker;Southwest;US
11082;Angela Butler;Southwest;US
11083;Alyssa Cox;Southwest;US
11084;Lucas Phillips;Northwest;US
11085;Emily Johnson;Southwest;US
11086;Ryan Brown;Southwest;US
11087;Tamara Liang;Southwest;US
11088;Hunter Davis;Southwest;US
11089;Abigail Price;Southwest;US
11090;Trevor Bryant;Southwest;US
11091;Dalton Perez;Canada;CA
11092;Cheryl Diaz;Australia;AU
11093;Aimee He;Australia;AU
11094;Cedric Ma;Australia;AU
11095;Chad Kumar;Australia;AU
11096;Andrés Anand;Australia;AU
11097;Edwin Nara;Australia;AU
11098;Mallory Rubio;Australia;AU
11099;Adam Ross;Australia;AU
11100;Latasha Navarro;Australia;AU
11101;Abby Sai;Australia;AU
11102;Julia Nelson;Australia;AU
11103;Cassie Chande;Australia;AU
11104;Edgar Sara;Australia;AU
11105;Candace Fernandez;Australia;AU
11106;Jessie Liu;Australia;AU
11107;Bianca Lin;Australia;AU
11108;Kari Alvarez;Australia;AU
11109;Ruben Kapoor;Australia;AU
11110;Curtis Yang;Australia;AU
11111;Meredith Gutierrez;Australia;AU
11112;Crystal Wang;Australia;AU
11113;Micheal Blanco;Australia;AU
11114;Leslie Moreno;Australia;AU
11115;Alvin Cai;Australia;AU
11116;Clinton Carlson;Australia;AU
11117;April Deng;Australia;AU
11118;Alvin Zeng;Australia;AU
11119;Evan James;Australia;AU
11120;Beth Jiménez;Australia;AU
11121;Orlando Suarez;Australia;AU
11122;Byron Vazquez;Australia;AU
11123;Philip Alvarez;Australia;AU
11124;Ross Jordan;Australia;AU
11125;Dana Navarro;Australia;AU
11126;Shaun Carson;Australia;AU
11127;Jan Edwards;Southwest;US
11128;Samantha Long;Northwest;US
11129;Julia Wright;Northwest;US
11130;Caroline Russell;Northwest;US
11131;Amanda Rivera;Canada;CA
11132;Melissa Richardson;Canada;CA
11133;Angela Griffin;Northwest;US
11134;Larry Townsend;Australia;AU
11135;Marcus Harris;Southwest;US
11136;Brianna Morgan;Canada;CA
11137;Jasmine Taylor;Northwest;US
11138;Lauren Davis;Southwest;US
11139;Tanya Moreno;Australia;AU
11140;Javier Alvarez;Southwest;US
11141;Nicole Ramirez;Southwest;US
11142;Eduardo Patterson;Canada;CA
11143;Jonathan Henderson;Southwest;US
11144;Edward Hernandez;Northwest;US
11145;Jasmine Coleman;Northwest;US
11146;Karla Goel;Australia;AU
11147;Ernest Wu;Australia;AU
11148;Ross Vazquez;Australia;AU
11149;Theodore Gill;Australia;AU
11150;Russell Shen;Australia;AU
11151;Melinda Gill;Australia;AU
11152;James Williams;Northwest;US
11153;Angela James;Northwest;US
